Item no.,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6
1,27/12/2020 14:27:18,857,832,770,747,731,709
2,27/12/2020 14:27:18,856,831,768,746,730,709
4,27/12/2021 14:27:19,856,831,767,747,733,710
4,27/12/2020 14:27:19,860,832,768,746,732,710
5,27/12/2020 14:27:19,860,832,768,744,733,709
6,27/12/2020 14:27:19,859,834,768,745,732,710
7,27/12/2020 14:27:19,860,836,770,746,731,710
8,27/12/2020 14:27:19,860,833,770,747,730,709
9,28/12/2020 14:27:19,859,832,771,748,732,709
10,27/12/2020 14:27:20,859,835,771,751,732,710
11,27/12/2020 14:27:20,861,834,771,750,733,709
12,27/12/2020 14:27:20,860,832,771,749,735,708
13,27/12/2020 14:27:20,861,834,771,748,736,710
14,27/12/2020 14:27:20,861,833,770,749,734,710
15,27/12/2020 14:27:20,862,830,771,749,733,708
16,27/12/2020 14:27:20,861,829,770,753,732,710
17,27/12/2020 14:27:21,862,830,770,753,732,710
18,27/12/2020 14:27:21,863,830,771,754,732,709
19,27/12/2020 14:27:21,864,831,770,753,733,709
20,27/12/2020 14:27:21,864,831,769,752,734,709
21,27/12/2020 14:27:21,863,833,767,749,735,708
22,27/12/2020 14:27:21,861,834,767,749,735,709
23,27/12/2020 14:27:21,860,832,767,749,736,708
24,27/12/2020 14:27:21,858,833,768,747,737,707
25,27/12/2020 14:27:22,858,834,767,747,738,708
26,27/12/2020 14:27:22,859,832,769,748,737,709
27,27/12/2020 14:27:22,859,831,769,749,736,707
28,27/12/2020 14:27:22,860,832,769,748,736,708
29,27/12/2020 14:27:22,861,831,767,750,737,708
30,27/12/2020 14:27:22,860,830,768,748,736,708
31,27/12/2020 14:27:22,860,831,768,747,735,708
32,27/12/2020 14:27:23,860,831,769,748,734,709
33,27/12/2020 14:27:23,860,831,769,748,734,710
34,27/12/2020 14:27:23,859,832,769,749,732,711
35,27/12/2020 14:27:23,861,833,767,750,732,710
36,27/12/2020 14:27:23,861,833,767,751,734,710
37,27/12/2020 14:27:23,860,834,768,748,736,709
38,27/12/2020 14:27:23,860,833,769,747,735,709
39,27/12/2020 14:27:24,860,834,768,748,735,708
40,27/12/2020 14:27:24,860,832,769,747,735,708
41,27/12/2020 14:27:24,859,831,770,747,734,708
42,27/12/2020 14:27:24,860,829,769,751,734,708
43,27/12/2020 14:27:24,859,830,769,753,733,708
44,27/12/2020 14:27:24,859,827,770,754,732,709
45,27/12/2020 14:27:24,860,828,771,754,732,708
46,27/12/2020 14:27:25,859,828,771,754,734,708
47,27/12/2020 14:27:25,859,829,770,752,733,708
48,27/12/2020 14:27:25,859,830,770,751,733,708
49,27/12/2020 14:27:25,859,830,771,747,734,707
50,27/12/2020 14:27:25,858,831,772,746,735,707
51,27/12/2020 14:27:25,858,830,771,747,734,706
52,27/12/2020 14:27:25,858,828,772,746,736,707
53,27/12/2020 14:27:26,859,828,772,744,737,707
54,27/12/2020 14:27:26,857,827,772,746,737,707
55,27/12/2020 14:27:26,856,826,771,748,736,707
56,27/12/2020 14:27:26,857,827,771,748,736,707
57,27/12/2020 14:27:26,855,829,771,750,735,707
58,27/12/2020 14:27:26,855,831,770,751,735,708
59,27/12/2020 14:27:26,857,830,768,751,735,709
60,27/12/2020 14:27:27,858,831,769,751,734,709
61,27/12/2020 14:27:27,856,831,768,751,734,710
62,27/12/2020 14:27:27,857,832,766,749,734,712
63,27/12/2020 14:27:27,858,830,767,749,733,711
64,27/12/2020 14:27:27,858,832,767,750,733,710
65,27/12/2020 14:27:27,857,833,766,749,734,710
66,27/12/2020 14:27:27,860,834,767,748,734,709
67,27/12/2020 14:27:28,862,831,769,751,735,707
68,27/12/2020 14:27:28,860,833,769,753,736,708
69,27/12/2020 14:27:28,860,833,770,753,736,708
70,27/12/2020 14:27:28,860,832,770,755,737,708
71,27/12/2020 14:27:28,859,830,771,753,736,709
72,27/12/2020 14:27:28,857,831,770,752,734,708
73,27/12/2020 14:27:28,859,831,770,750,733,707
74,27/12/2020 14:27:28,858,832,768,749,733,708
